id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,airbnb_name,star,bedrooms,beds,baths
359854,466662,Natalie,Mid-Wilshire,Private room,95,30,6,246,Home in Los Angeles,4.67,1,1,1
365635,1846253,Jainée,Hollywood,Entire home/apt,125,30,4,0,Rental unit in Los Angeles,5.0,1,1,1
371373,1870500,Stefan,Venice,Entire home/apt,319,30,8,0,Rental unit in Los Angeles,5.0,2,1,2
287630,1496160,Sean,Woodland Hills,Private room,68,30,10,337,Rental unit in Los Angeles,4.89,1,1,1
371574,1871251,Gregory,Echo Park,Entire home/apt,56,45,16,0,Home in Los Angeles,4.81,0,1,1
288038,1497543,Gramercy,Harvard Heights,Shared room,35,30,84,324,Hostel in Los Angeles,4.72,1,4,8
374590,1647272,Bianca,Silver Lake,Entire home/apt,403,30,26,307,Rental unit in Los Angeles,4.92,2,2,1.5
288061,1497543,Gramercy,Arlington Heights,Shared room,40,30,39,365,Hostel in Los Angeles,4.68,1,2,8
288428,1705379,Mariko,Van Nuys,Private room,79,2,207,252,Home in Los Angeles,4.92,1,1,1
375882,745432,Ramesh,Los Feliz,Entire home/apt,120,30,7,0,Rental unit in Los Angeles,4.71,2,2,2
288779,1497543,Gramercy,Arlington Heights,Shared room,35,30,20,365,Home in Los Angeles,4.47,1,4,8
296379,1529054,Cyn-Anthony,Fairfax,Entire home/apt,114,30,109,365,Guesthouse in Los Angeles,4.91,1,1,1
377271,1896248,Jerry,Mid-Wilshire,Entire home/apt,175,30,2,296,Rental unit in Los Angeles,2 bedrooms,,3,2
298259,1537525,Deborah,Mar Vista,Entire home/apt,175,31,299,246,Bungalow in Los Angeles,4.83,2,3,1
298909,1540454,Rick,Venice,Private room,200,1,21,338,Rental unit in Marina del Rey,4.86,1,1,1
393966,1969645,Tiger,Downtown,Private room,42,30,273,192,Loft in Los Angeles,4.86,1,1,1
299876,1545388,Andrea & Darren,Echo Park,Entire home/apt,115,60,23,300,Rental unit in Los Angeles,4.95,0,1,1
300311,1497543,Gramercy,Arlington Heights,Private room,65,30,32,365,Home in Los Angeles,4.57,1,1,8
394508,1972326,Craig,Hollywood,Entire home/apt,159,30,102,365,Cottage in Los Angeles,4.83,1,2,1
300323,1497543,Gramercy,Harvard Heights,Shared room,35,30,146,339,Home in Los Angeles,4.70,1,4,8
300329,1497543,Gramercy,Harvard Heights,Shared room,40,30,16,187,Home in Los Angeles,4.69,1,2,8
300343,1497543,Gramercy,Harvard Heights,Private room,65,30,23,365,Home in Los Angeles,4.57,1,1,8
300371,1497543,Gramercy,Arlington Heights,Shared room,35,30,49,365,Villa in Los Angeles,4.65,1,4,8
395305,1975664,Jessica & Puk,Glassell Park,Entire home/apt,99,30,291,217,Home in Los Angeles,4.90,1,2,1
300407,1497543,Gramercy,Harvard Heights,Shared room,35,30,46,365,Home in Los Angeles,4.57,1,4,8.5
305478,1571311,Shelley,Mid-City,Entire home/apt,114,3,484,44,Guesthouse in Los Angeles,4.92,1,2,1
400478,1497543,Gramercy,Harvard Heights,Shared room,35,30,39,365,Home in Los Angeles,4.74,1,4,8
400940,2001210,Rose Ann,Del Rey,Entire home/apt,157,1,639,18,Guesthouse in Los Angeles,4.73,0,1,1
307541,1254174,Felix,Venice,Private room,69,30,16,0,Rental unit in Venice,4.15,1,2,1
402053,2006759,Cathy,Woodland Hills,Entire home/apt,88,30,129,341,Rental unit in Los Angeles,4.79,1,1,1
308582,1497543,Gramercy,Arlington Heights,Shared room,35,30,14,365,Home in Los Angeles,4.50,1,4,8
308584,1497543,Gramercy,Harvard Heights,Shared room,35,31,26,365,Home in Los Angeles,4.58,1,4,8
403604,1984406,Henry,Echo Park,Entire home/apt,122,30,370,164,Guesthouse in Los Angeles,4.88,0,1,1
311176,1604905,Yael,Leimert Park,Entire home/apt,150,30,23,363,Home in Los Angeles,4.43,2,2,1.5
404691,1497543,Gramercy,Harvard Heights,Shared room,35,30,27,365,Home in Los Angeles,4.69,1,4,8
462726,618883,Christopher,Sherman Oaks,Entire home/apt,95,3,332,61,Home in Los Angeles,4.94,1,2,1
404795,1497543,Gramercy,Arlington Heights,Shared room,35,30,27,365,Home in Los Angeles,4.81,1,4,8
405296,2019725,Larisa,Mid-Wilshire,Private room,89,30,32,332,Rental unit in Los Angeles,4.93,1,1,
463025,2184027,Michael,Del Rey,Private room,99,1,481,39,Home in Los Angeles,4.88,1,1,1
409740,3608303,Veronica,Hollywood Hills West,Entire home/apt,605,30,228,271,Home in Los Angeles,4.88,3,3,3
411757,1676128,Laura,Silver Lake,Private room,55,30,4,0,Rental unit in Los Angeles,5.0,1,1,1
469951,2331738,Emmett,Venice,Entire home/apt,225,30,46,38,Home in Los Angeles,4.87,3,3,2
415357,2065889,Amy,Sherman Oaks,Private room,75,180,0,0,Rental unit in Los Angeles,1 bedroom,,1,1
416651,1647272,Bianca,Silver Lake,Entire home/apt,226,30,16,365,Rental unit in Los Angeles,4.81,1,1,1
472748,2344764,Kevin,Venice,Entire home/apt,234,30,490,87,Rental unit in Venice,4.96,2,3,1
422037,2099007,Eva,Venice,Entire home/apt,150,61,64,0,Cottage in Los Angeles,4.42,2,2,2
473632,2348138,Simone,Woodland Hills,Entire home/apt,199,30,2,242,Home in Los Angeles,3 bedrooms,,3,1
424635,2111094,Diane,Venice,Entire home/apt,396,30,27,243,Home in Los Angeles,4.65,3,4,3.5
424793,2111937,Geoff,Silver Lake,Entire home/apt,150,30,3,0,Rental unit in Los Angeles,5.0,1,1,1
490221,2424764,Delphine,Brentwood,Entire home/apt,650,31,47,0,Home in Los Angeles,4.93,4,6,2
424928,2111094,Diane,Venice,Entire home/apt,125,31,78,325,Rental unit in Los Angeles,4.75,1,1,1
492235,2433148,Stephen,Mar Vista,Entire home/apt,140,30,438,347,Guesthouse in Los Angeles,4.91,1,1,1
431476,1343997,Hollywood,Hollywood,Entire home/apt,105,30,19,28,Rental unit in Los Angeles,4.53,1,2,1
433619,2085908,Hassan,Studio City,Private room,65,30,1,364,Rental unit in Los Angeles,1 bedroom,,1,1
495207,2154178,Dawn,Venice,Entire home/apt,350,30,17,0,Home in Los Angeles,4.92,3,3,2
498014,2458647,Mark,Venice,Private room,121,3,145,89,Townhouse in Venice,4.94,1,1,0.5
440133,1358840,Kelly,Hollywood,Entire home/apt,96,30,17,280,Rental unit in Los Angeles,4.63,1,1,1
498342,2460077,Bryce,Canoga Park,Private room,110,30,157,364,Home in Los Angeles,4.90,1,1,1.5
446566,1589110,Anne,Hollywood,Private room,42,30,23,0,Rental unit in Los Angeles,4.87,1,1,1.5
446757,1343997,Hollywood,Hollywood,Entire home/apt,179,30,41,353,Rental unit in Los Angeles,4.59,2,5,1
499612,2465559,Riccardo,Downtown,Entire home/apt,300,30,20,333,Loft in Los Angeles,4.90,1,1,1
502172,2477978,Laura,Eagle Rock,Entire home/apt,320,30,31,338,Home in Los Angeles,4.45,2,4,2
606190,2937045,Deidre,Echo Park,Entire home/apt,95,30,3,0,Home in Los Angeles,5.0,1,1,1
510381,1544831,Anton,Venice,Entire home/apt,150,30,1,0,Rental unit in Los Angeles,1 bedroom,,1,1
512682,2525623,Maja,Silver Lake,Entire home/apt,99,30,7,0,Rental unit in Los Angeles,5.0,1,1,1
606666,3005475,Tommy,Venice,Entire home/apt,99,30,262,173,Bungalow in Los Angeles,4.83,1,1,1
611542,3032775,Wendy,Hollywood Hills West,Entire home/apt,249,3,27,92,Home in Los Angeles,4.74,2,2,2.5
611841,3035002,Vicki,Hollywood Hills,Entire home/apt,170,30,246,295,Guest suite in Los Angeles,4.95,1,2,1
611903,3891392,Ethan,Silver Lake,Entire home/apt,613,3,90,29,Home in Los Angeles,4.91,3,3,2.5
514836,79697,Shay,Hollywood,Private room,135,30,44,141,Home in Los Angeles,4.84,1,1,1
619457,3069669,Paul,Hollywood Hills,Entire home/apt,450,30,2,87,Home in Los Angeles,3 bedrooms,,3,2.5
524134,2458647,Mark,Venice,Private room,249,1,13,88,Townhouse in Venice,4.92,1,1,1
620400,1972326,Craig,Hollywood,Entire home/apt,495,30,5,173,Bungalow in Los Angeles,5.0,2,2,1
526012,2566215,Jo-Ann,Venice,Entire home/apt,240,3,404,170,Guesthouse in Los Angeles,4.96,1,1,1
622766,1511369,D. Marilyn,Hollywood,Entire home/apt,117,31,162,23,Rental unit in Los Angeles,4.73,1,2,1
625983,3106817,Tirza,North Hollywood,Entire home/apt,103,30,19,156,Home in North Hollywood,4.95,2,2,2
533646,2622454,Mary,Hollywood,Private room,65,30,604,365,Hostel in Los Angeles,4.72,1,1,3.5
634390,2244905,Geerat,Woodland Hills,Entire home/apt,120,61,28,0,Home in Woodland Hills,4.96,1,1,1
534552,1647272,Bianca,Silver Lake,Entire home/apt,226,30,9,365,Rental unit in Los Angeles,4.67,1,,1
636629,2824760,Teresa,Lincoln Heights,Entire home/apt,85,30,72,364,Rental unit in Los Angeles,4.68,2,3,1.5
537363,2639652,Alex,Highland Park,Entire home/apt,129,30,170,224,Home in Los Angeles,4.91,2,5,1
538568,2645488,Mia & Anthony,Echo Park,Entire home/apt,100,31,66,261,Guest suite in Los Angeles,4.80,1,1,1
639363,3191837,Masha,Mar Vista,Entire home/apt,237,30,74,364,Townhouse in Los Angeles,4.62,4,4,3
540451,25059292,Sourech,Del Rey,Entire home/apt,65,30,3,0,Rental unit in Los Angeles,5.0,1,1,1
642537,3211667,Alayha,Palms,Private room,52,30,56,365,Rental unit in Los Angeles,4.87,1,2,1
643453,2824760,Teresa,Lincoln Heights,Private room,84,30,25,339,Home in Los Angeles,4.76,1,1,1.5
542016,2665108,Angela,Venice,Private room,129,2,294,51,Guest suite in Los Angeles,4.88,1,1,1
643866,3220633,Heather,Westchester,Private room,132,30,138,89,Guest suite in Los Angeles,4.85,1,1,1
644008,2622454,Mary,Hollywood,Private room,65,30,484,365,Hostel in Los Angeles,4.69,1,1,3.5
546663,2528129,Bianca,Rancho Park,Entire home/apt,400,5,20,165,Home in Los Angeles,4.95,2,2,2.5
644009,2622454,Mary,Hollywood,Private room,65,30,495,365,Hostel in Los Angeles,4.72,1,1,3.5
555979,2734581,Ariel,Westwood,Private room,85,30,41,297,Home in Los Angeles,4.78,1,1,1.5
649834,905689,Daniel,Los Feliz,Private room,75,30,0,0,Home in Los Angeles,1 bedroom,,1,1
656636,1723519,Kelly,Echo Park,Entire home/apt,97,30,33,0,Home in Los Angeles,4.90,1,1,1
562348,2765569,Steven & Judy,Venice,Entire home/apt,245,30,19,365,Rental unit in Marina del Rey,4.89,3,3,2.5
564102,1568466,Julie AND Lautner,Venice,Entire home/apt,99,30,244,365,Home in Los Angeles,4.61,1,1,1
661903,3238908,Carin,Woodland Hills,Private room,66,30,44,216,Home in Los Angeles,4.77,1,1,1
565733,2781593,Reyna,Hollywood Hills,Entire home/apt,400,30,8,362,Villa in Los Angeles,4.86,3,5,2
565836,2782528,Stanley,Venice,Entire home/apt,355,31,20,364,Home in Venice,4.95,2,2,2
565873,104979697,Jake,Venice,Entire home/apt,171,31,167,302,Cottage in Venice,4.81,1,4,1
566016,2783478,Lyndall,Studio City,Entire home/apt,704,3,215,0,Home in Hollywood Hills,4.83,4,5,3
571586,2812075,Donna,Studio City,Entire home/apt,285,30,0,0,Home in Studio City,4 bedrooms,,5,3.5
573036,2819619,Kirby,Hollywood,Entire home/apt,151,30,36,240,Bungalow in Los Angeles,4.88,3,4,2
668111,3381181,Craig,Venice,Entire home/apt,140,30,56,229,Rental unit in Los Angeles,4.95,1,1,1
669590,2622454,Mary,Hollywood,Private room,65,30,472,365,Hostel in Los Angeles,4.66,1,1,3.5
577969,2842769,Fabienne And Jean,Beverly Crest,Entire home/apt,1350,10,1,307,Home in Beverly Hills,4 bedrooms,,4,4
669808,3392276,Amir,West Los Angeles,Entire home/apt,102,30,51,352,Rental unit in Los Angeles,4.74,0,2,1
578100,2822669,Michelle,Mar Vista,Entire home/apt,69,30,20,243,Guesthouse in Los Angeles,4.95,1,1,1
669825,3392276,Amir,West Los Angeles,Entire home/apt,53,30,41,351,Rental unit in Los Angeles,4.63,0,2,1
669955,3393312,Ronit,Sherman Oaks,Private room,141,2,54,257,Home in Los Angeles,4.91,1,2,1
579927,2852812,Elena & Michael,Venice,Entire home/apt,500,3,118,0,Home in Los Angeles,4.81,3,3,3
584707,2881219,Dylan,Beverly Grove,Private room,250,30,0,0,Rental unit in West Hollywood,1 bedroom,,1,1
686348,2315535,Shana,Echo Park,Private room,50,30,160,361,Rental unit in Los Angeles,4.81,1,1,1
584724,2881219,Dylan,Beverly Grove,Entire home/apt,489,30,0,0,Aparthotel in West Hollywood,2 bedrooms,,3,2
586709,2892483,Ernesto,Echo Park,Private room,160,3,111,81,Home in Los Angeles,4.85,1,1,1
589056,2904967,Frankie,Hollywood,Entire home/apt,300,30,9,365,Home in Hollywood,5.0,2,3,2
686771,3504481,Jeanne,Winnetka,Private room,60,31,70,365,Home in Winnetka,4.93,1,1,1
590936,2915924,Petr,Lincoln Heights,Entire home/apt,125,30,55,0,Loft in Los Angeles,4.85,1,1,1
687106,3506633,Bobby-C,Westchester,Entire home/apt,80,30,9,354,Condo in Los Angeles,5.0,1,1,1
687590,3509305,Craig And Jetty,Carthay,Entire home/apt,159,30,60,0,Home in Los Angeles,4.88,1,2,1
591831,2824760,Teresa,Lincoln Heights,Private room,95,30,46,126,Home in Los Angeles,4.80,1,,1.5
